No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q34.html"",""令和5年春期 問34"")",2025/2/26
2,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q90.html"",""令和2年秋期 問90"")",2025/2/26
3,○,ストラテジ系,経営戦略,技術戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q35.html"",""令和2年秋期 問35"")",2025/2/26
4,○,マネジメント系,企業と法務,システム監査,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q41.html"",""令和2年秋期 問41"")",2025/2/26
5,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q98.html"",""令和4年春期 問98"")",2025/2/26
6,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q97.html"",""令和2年秋期 問97"")",2025/2/26
7,×,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q34.html"",""令和6年春期 問34"")",2025/2/26
8,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q69.html"",""令和5年春期 問69"")",2025/2/26
9,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q82.html"",""令和3年春期 問82"")",2025/2/26
10,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q28.html"",""令和6年春期 問28"")",2025/2/26
11,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q41.html"",""令和5年春期 問41"")",2025/2/26
12,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q67.html"",""令和4年春期 問67"")",2025/2/26
13,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q12.html"",""令和4年春期 問12"")",2025/2/26
14,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q72.html"",""令和4年春期 問72"")",2025/2/26
15,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q68.html"",""令和2年秋期 問68"")",2025/2/26
16,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q4.html"",""令和2年秋期 問4"")",2025/2/26
17,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q57.html"",""令和5年春期 問57"")",2025/2/26
18,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q78.html"",""令和2年秋期 問78"")",2025/2/26
19,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q93.html"",""令和6年春期 問93"")",2025/2/26
20,○,マネジメント系,企業と法務,システム監査,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q53.html"",""令和5年春期 問53"")",2025/2/26
21,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q82.html"",""令和4年春期 問82"")",2025/2/26
22,○,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q20.html"",""令和5年春期 問20"")",2025/2/26
23,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q52.html"",""令和3年春期 問52"")",2025/2/26
24,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q98.html"",""令和5年春期 問98"")",2025/2/26
25,○,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q20.html"",""令和4年春期 問20"")",2025/2/26
26,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q49.html"",""令和4年春期 問49"")",2025/2/26
27,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q70.html"",""令和4年春期 問70"")",2025/2/26
28,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q47.html"",""令和3年春期 問47"")",2025/2/26
29,○,ストラテジ系,経営戦略,技術戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q3.html"",""令和2年秋期 問3"")",2025/2/26
30,○,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q35.html"",""令和5年春期 問35"")",2025/2/26
31,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q95.html"",""令和4年春期 問95"")",2025/2/26
32,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q60.html"",""令和4年春期 問60"")",2025/2/26
33,×,マネジメント系,開発技術,システム開発技術,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q50.html"",""令和6年春期 問50"")",2025/2/26
34,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q35.html"",""令和4年春期 問35"")",2025/2/26
35,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q31.html"",""令和2年秋期 問31"")",2025/2/26
36,○,マネジメント系,開発技術,システム開発技術,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q44.html"",""令和2年秋期 問44"")",2025/2/26
37,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q87.html"",""令和2年秋期 問87"")",2025/2/26
38,○,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q12.html"",""令和3年春期 問12"")",2025/2/26
39,×,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q5.html"",""令和3年春期 問5"")",2025/2/26
40,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q35.html"",""令和3年春期 問35"")",2025/2/26
41,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q71.html"",""令和5年春期 問71"")",2025/2/26
42,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q6.html"",""令和3年春期 問6"")",2025/2/26
43,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q100.html"",""令和6年春期 問100"")",2025/2/26
44,○,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q26.html"",""令和2年秋期 問26"")",2025/2/26
45,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q50.html"",""令和2年秋期 問50"")",2025/2/26
46,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q61.html"",""令和5年春期 問61"")",2025/2/26
47,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q51.html"",""令和5年春期 問51"")",2025/2/26
48,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q18.html"",""令和3年春期 問18"")",2025/2/26
49,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q89.html"",""令和4年春期 問89"")",2025/2/26
50,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q44.html"",""令和4年春期 問44"")",2025/2/26
51,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q62.html"",""令和3年春期 問62"")",2025/2/26
52,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q100.html"",""令和2年秋期 問100"")",2025/2/26
53,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q85.html"",""令和2年秋期 問85"")",2025/2/26
54,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q3.html"",""令和4年春期 問3"")",2025/2/26
55,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q63.html"",""令和3年春期 問63"")",2025/2/26
56,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q56.html"",""令和4年春期 問56"")",2025/2/26
57,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q83.html"",""令和5年春期 問83"")",2025/2/26
58,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q22.html"",""令和2年秋期 問22"")",2025/2/26
59,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q44.html"",""令和6年春期 問44"")",2025/2/26
60,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q38.html"",""令和5年春期 問38"")",2025/2/26
61,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q88.html"",""令和2年秋期 問88"")",2025/2/26
62,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q80.html"",""令和3年春期 問80"")",2025/2/26
63,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q73.html"",""令和3年春期 問73"")",2025/2/26
64,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q97.html"",""令和3年春期 問97"")",2025/2/26
65,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q22.html"",""令和5年春期 問22"")",2025/2/26
66,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q78.html"",""令和4年春期 問78"")",2025/2/26
67,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q63.html"",""令和5年春期 問63"")",2025/2/26
68,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q70.html"",""令和5年春期 問70"")",2025/2/26
69,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q60.html"",""令和2年秋期 問60"")",2025/2/26
70,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q61.html"",""令和6年春期 問61"")",2025/2/26
71,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q7.html"",""令和5年春期 問7"")",2025/2/26
72,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q73.html"",""令和2年秋期 問73"")",2025/2/26
73,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q47.html"",""令和5年春期 問47"")",2025/2/26
74,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q8.html"",""令和3年春期 問8"")",2025/2/26
75,×,ストラテジ系,経営戦略,技術戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q3.html"",""令和6年春期 問3"")",2025/2/26
76,×,マネジメント系,企業と法務,システム監査,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q49.html"",""令和3年春期 問49"")",2025/2/26
77,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q97.html"",""令和5年春期 問97"")",2025/2/26
78,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q12.html"",""令和6年春期 問12"")",2025/2/26
79,○,マネジメント系,企業と法務,システム監査,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q55.html"",""令和6年春期 問55"")",2025/2/26
80,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q99.html"",""令和5年春期 問99"")",2025/2/26
81,×,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q4.html"",""令和3年春期 問4"")",2025/2/26
82,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q56.html"",""令和3年春期 問56"")",2025/2/26
83,○,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q29.html"",""令和3年春期 問29"")",2025/2/26
84,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q94.html"",""令和6年春期 問94"")",2025/2/26
85,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q5.html"",""令和2年秋期 問5"")",2025/2/26
86,×,ストラテジ系,経営戦略,技術戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q5.html"",""令和6年春期 問5"")",2025/2/26
87,×,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q44.html"",""令和5年春期 問44"")",2025/2/26
88,○,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q9.html"",""令和3年春期 問9"")",2025/2/26
89,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q83.html"",""令和3年春期 問83"")",2025/2/26
90,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q71.html"",""令和6年春期 問71"")",2025/2/26
91,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q55.html"",""令和4年春期 問55"")",2025/2/26
92,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q18.html"",""令和2年秋期 問18"")",2025/2/26
93,×,マネジメント系,企業と法務,システム監査,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q55.html"",""令和3年春期 問55"")",2025/2/26
94,○,マネジメント系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q40.html"",""令和5年春期 問40"")",2025/2/26
95,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q16.html"",""令和4年春期 問16"")",2025/2/26
96,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q71.html"",""令和4年春期 問71"")",2025/2/26
97,○,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q9.html"",""令和5年春期 問9"")",2025/2/26
98,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q73.html"",""令和4年春期 問73"")",2025/2/26
99,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q54.html"",""令和4年春期 問54"")",2025/2/26
100,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q24.html"",""令和2年秋期 問24"")",2025/2/26
101,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q78.html"",""令和3年春期 問78"")",2025/2/26
102,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q24.html"",""令和3年春期 問24"")",2025/2/26
103,○,マネジメント系,開発技術,システム開発技術,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q47.html"",""令和4年春期 問47"")",2025/2/26
104,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q70.html"",""令和3年春期 問70"")",2025/2/26
105,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q64.html"",""令和6年春期 問64"")",2025/2/26
106,○,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q33.html"",""令和3年春期 問33"")",2025/2/26
107,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q52.html"",""令和4年春期 問52"")",2025/2/26
108,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q49.html"",""令和2年秋期 問49"")",2025/2/26
109,○,マネジメント系,企業と法務,システム監査,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q48.html"",""令和6年春期 問48"")",2025/2/26
110,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q48.html"",""令和5年春期 問48"")",2025/2/26
111,×,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q30.html"",""令和3年春期 問30"")",2025/2/26
112,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q50.html"",""令和3年春期 問50"")",2025/2/26
113,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q77.html"",""令和4年春期 問77"")",2025/2/26
114,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q72.html"",""令和6年春期 問72"")",2025/2/26
115,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q67.html"",""令和2年秋期 問67"")",2025/2/26
116,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q65.html"",""令和3年春期 問65"")",2025/2/26
117,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q79.html"",""令和2年秋期 問79"")",2025/2/26
118,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q32.html"",""令和2年秋期 問32"")",2025/2/26
119,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q80.html"",""令和6年春期 問80"")",2025/2/26
120,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q72.html"",""令和2年秋期 問72"")",2025/2/26
121,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q20.html"",""令和3年春期 問20"")",2025/2/26
122,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q94.html"",""令和2年秋期 問94"")",2025/2/26
123,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q58.html"",""令和2年秋期 問58"")",2025/2/26
124,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q66.html"",""令和6年春期 問66"")",2025/2/26
125,○,マネジメント系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q40.html"",""令和6年春期 問40"")",2025/2/26
