No.,正誤,分野名,大分類,中分類,出典,学習日
375,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q93.html"",""令和4年春期 問93"")",2025/2/26
376,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q89.html"",""令和6年春期 問89"")",2025/2/26
377,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q84.html"",""令和3年春期 問84"")",2025/2/26
378,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q19.html"",""令和6年春期 問19"")",2025/2/26
379,○,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q24.html"",""令和6年春期 問24"")",2025/2/26
380,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q60.html"",""令和6年春期 問60"")",2025/2/26
381,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q100.html"",""令和4年春期 問100"")",2025/2/26
382,○,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q8.html"",""令和4年春期 問8"")",2025/2/26
383,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q90.html"",""令和3年春期 問90"")",2025/2/26
384,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q81.html"",""令和5年春期 問81"")",2025/2/26
385,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q59.html"",""令和5年春期 問59"")",2025/2/26
386,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q45.html"",""令和5年春期 問45"")",2025/2/26
387,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q96.html"",""令和5年春期 問96"")",2025/2/26
388,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q93.html"",""令和3年春期 問93"")",2025/2/26
389,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q51.html"",""令和6年春期 問51"")",2025/2/26
390,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q98.html"",""令和2年秋期 問98"")",2025/2/26
391,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q21.html"",""令和5年春期 問21"")",2025/2/26
392,○,マネジメント系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q47.html"",""令和6年春期 問47"")",2025/2/26
393,○,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q4.html"",""令和4年春期 問4"")",2025/2/26
394,○,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q20.html"",""令和6年春期 問20"")",2025/2/26
395,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q96.html"",""令和4年春期 問96"")",2025/2/26
396,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q74.html"",""令和6年春期 問74"")",2025/2/26
397,○,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q27.html"",""令和6年春期 問27"")",2025/2/26
398,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q88.html"",""令和6年春期 問88"")",2025/2/26
399,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q58.html"",""令和5年春期 問58"")",2025/2/26
400,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q14.html"",""令和2年秋期 問14"")",2025/2/26
401,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q76.html"",""令和6年春期 問76"")",2025/2/26
402,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q64.html"",""令和4年春期 問64"")",2025/2/26
403,○,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q9.html"",""令和2年秋期 問9"")",2025/2/26
404,○,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q31.html"",""令和6年春期 問31"")",2025/2/26
405,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q15.html"",""令和3年春期 問15"")",2025/2/26
406,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q82.html"",""令和2年秋期 問82"")",2025/2/26
407,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q36.html"",""令和6年春期 問36"")",2025/2/26
408,○,マネジメント系,企業と法務,システム監査,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q40.html"",""令和4年春期 問40"")",2025/2/26
409,○,マネジメント系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q39.html"",""令和5年春期 問39"")",2025/2/26
410,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q71.html"",""令和3年春期 問71"")",2025/2/26
411,×,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q4.html"",""令和5年春期 問4"")",2025/2/26
412,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q7.html"",""令和2年秋期 問7"")",2025/2/26
413,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q41.html"",""令和6年春期 問41"")",2025/2/26
414,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q94.html"",""令和3年春期 問94"")",2025/2/26
415,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q68.html"",""令和5年春期 問68"")",2025/2/26
416,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q89.html"",""令和3年春期 問89"")",2025/2/26
417,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q82.html"",""令和6年春期 問82"")",2025/2/26
418,○,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q11.html"",""令和6年春期 問11"")",2025/2/26
419,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q39.html"",""令和3年春期 問39"")",2025/2/26
420,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q89.html"",""令和2年秋期 問89"")",2025/2/26
421,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q37.html"",""令和3年春期 問37"")",2025/2/26
422,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q42.html"",""令和2年秋期 問42"")",2025/2/26
423,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q26.html"",""令和5年春期 問26"")",2025/2/26
424,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q64.html"",""令和3年春期 問64"")",2025/2/26
425,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q80.html"",""令和4年春期 問80"")",2025/2/26
426,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q59.html"",""令和4年春期 問59"")",2025/2/26
427,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q67.html"",""令和6年春期 問67"")",2025/2/26
428,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q85.html"",""令和4年春期 問85"")",2025/2/26
429,×,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q14.html"",""令和6年春期 問14"")",2025/2/26
430,○,マネジメント系,企業と法務,システム監査,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q37.html"",""令和5年春期 問37"")",2025/2/26
431,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q87.html"",""令和3年春期 問87"")",2025/2/26
432,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q92.html"",""令和2年秋期 問92"")",2025/2/26
433,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q87.html"",""令和5年春期 問87"")",2025/2/26
434,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q95.html"",""令和6年春期 問95"")",2025/2/26
435,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q95.html"",""令和3年春期 問95"")",2025/2/26
436,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q95.html"",""令和2年秋期 問95"")",2025/2/26
437,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q17.html"",""令和2年秋期 問17"")",2025/2/26
438,×,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q26.html"",""令和4年春期 問26"")",2025/2/26
439,×,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q39.html"",""令和4年春期 問39"")",2025/2/26
440,×,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q5.html"",""令和4年春期 問5"")",2025/2/26
441,○,マネジメント系,企業と法務,システム監査,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q52.html"",""令和5年春期 問52"")",2025/2/26
442,×,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q13.html"",""令和2年秋期 問13"")",2025/2/26
443,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q22.html"",""令和6年春期 問22"")",2025/2/26
444,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q76.html"",""令和3年春期 問76"")",2025/2/26
445,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q63.html"",""令和6年春期 問63"")",2025/2/26
446,×,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q6.html"",""令和6年春期 問6"")",2025/2/26
447,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q25.html"",""令和6年春期 問25"")",2025/2/26
448,○,ストラテジ系,経営戦略,技術戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q31.html"",""令和3年春期 問31"")",2025/2/26
449,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q69.html"",""令和3年春期 問69"")",2025/2/26
450,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q33.html"",""令和5年春期 問33"")",2025/2/26
451,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q83.html"",""令和4年春期 問83"")",2025/2/26
452,×,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q35.html"",""令和6年春期 問35"")",2025/2/26
453,○,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q7.html"",""令和3年春期 問7"")",2025/2/26
454,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q79.html"",""令和3年春期 問79"")",2025/2/26
455,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q41.html"",""令和4年春期 問41"")",2025/2/26
456,×,マネジメント系,企業と法務,システム監査,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q53.html"",""令和6年春期 問53"")",2025/2/26
457,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q75.html"",""令和4年春期 問75"")",2025/2/26
458,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q18.html"",""令和4年春期 問18"")",2025/2/26
459,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q10.html"",""令和2年秋期 問10"")",2025/2/26
460,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q47.html"",""令和2年秋期 問47"")",2025/2/26
461,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q91.html"",""令和2年秋期 問91"")",2025/2/26
462,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q54.html"",""令和3年春期 問54"")",2025/2/26
463,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q29.html"",""令和4年春期 問29"")",2025/2/26
464,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q51.html"",""令和4年春期 問51"")",2025/2/26
465,×,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q16.html"",""令和6年春期 問16"")",2025/2/26
466,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q86.html"",""令和6年春期 問86"")",2025/2/26
467,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q78.html"",""令和6年春期 問78"")",2025/2/26
468,○,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q14.html"",""令和3年春期 問14"")",2025/2/26
469,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q42.html"",""令和3年春期 問42"")",2025/2/26
470,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q91.html"",""令和6年春期 問91"")",2025/2/26
471,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q80.html"",""令和5年春期 問80"")",2025/2/26
472,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q43.html"",""令和4年春期 問43"")",2025/2/26
473,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q100.html"",""令和3年春期 問100"")",2025/2/26
474,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q69.html"",""令和4年春期 問69"")",2025/2/26
475,×,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q23.html"",""令和6年春期 問23"")",2025/2/26
476,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q88.html"",""令和3年春期 問88"")",2025/2/26
477,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q74.html"",""令和2年秋期 問74"")",2025/2/26
478,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q79.html"",""令和6年春期 問79"")",2025/2/26
479,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q29.html"",""令和6年春期 問29"")",2025/2/26
480,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q52.html"",""令和6年春期 問52"")",2025/2/26
481,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q62.html"",""令和2年秋期 問62"")",2025/2/26
482,○,マネジメント系,開発技術,システム開発技術,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q45.html"",""令和4年春期 問45"")",2025/2/26
483,×,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q43.html"",""令和6年春期 問43"")",2025/2/26
484,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q39.html"",""令和6年春期 問39"")",2025/2/26
485,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q83.html"",""令和2年秋期 問83"")",2025/2/26
486,○,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q32.html"",""令和6年春期 問32"")",2025/2/26
487,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q75.html"",""令和6年春期 問75"")",2025/2/26
488,×,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q13.html"",""令和3年春期 問13"")",2025/2/26
489,×,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q17.html"",""令和3年春期 問17"")",2025/2/26
490,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q15.html"",""令和2年秋期 問15"")",2025/2/26
491,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q93.html"",""令和5年春期 問93"")",2025/2/26
492,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q58.html"",""令和3年春期 問58"")",2025/2/26
493,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q19.html"",""令和5年春期 問19"")",2025/2/26
494,×,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q23.html"",""令和4年春期 問23"")",2025/2/26
495,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q23.html"",""令和5年春期 問23"")",2025/2/26
496,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q53.html"",""令和2年秋期 問53"")",2025/2/26
497,×,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q16.html"",""令和5年春期 問16"")",2025/2/26
498,○,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q9.html"",""令和4年春期 問9"")",2025/2/26
499,○,マネジメント系,企業と法務,システム監査,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q38.html"",""令和3年春期 問38"")",2025/2/26
500,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q58.html"",""令和6年春期 問58"")",2025/2/26
